,seed,theta_hat,theta_sd,true,ci_l,ci_u,cover,significant,bias
0,357409,-0.0013201509,0.001438736,-0.0013551656408040719,-0.0014829592168011572,-0.001157342610540161,True,True,3.501472713341282e-05
1,147442,-0.0014270353,0.0016524045,-0.0013496287445719387,-0.0016140224905501445,-0.001240048135649101,True,True,-7.740656852768405e-05
2,759978,-0.0014186775,0.0015348085,-0.001327679559270015,-0.0015923574445467917,-0.0012449975712526115,True,True,-9.099794862968652e-05
3,549771,-0.0012215088,0.0013495242,-0.0013427091142227628,-0.0013742218799911894,-0.001068795790893539,True,True,0.00012120027878039863
4,161756,-0.0013062353,0.0014683885,-0.0013142918605977816,-0.001472399123510374,-0.0011400715256724226,True,True,8.056536006383367e-06
5,775466,-0.0015801941,0.001605791,-0.0013156334384996245,-0.0017619064667206885,-0.0013984817422050355,False,True,-0.0002645606659632375
6,325401,-0.0012670315,0.0012810056,-0.0013133808887831379,-0.0014119909593676332,-0.0011220721079195735,True,True,4.634935513953453e-05
7,155680,-0.0013521238,0.0014360558,-0.0013380187604025977,-0.0015146288062931233,-0.0011896187931745119,True,True,-1.4105039331219855e-05
8,399322,-0.001323599,0.0014185626,-0.0013234109442631218,-0.0014841244895627966,-0.0011630735486129055,True,True,-1.8807482472923617e-07
9,582773,-0.0013790366,0.0013850449,-0.0013622192051419785,-0.0015357691611151767,-0.0012223039937217163,True,True,-1.6817372276468033e-05
10,356063,-0.0013472331,0.0014165102,-0.0013426698505765084,-0.001507526294959433,-0.0011869398563376593,True,True,-4.563225072037793e-06
11,130624,-0.0013429506,0.001396242,-0.0013288397483526275,-0.0015009502717636004,-0.0011849509714760408,True,True,-1.4110873267193054e-05
12,882984,-0.0013811312,0.0014519083,-0.0013704244057868322,-0.0015454301249264693,-0.0012168323516816878,True,True,-1.0706832517246414e-05
13,916183,-0.0013223853,0.0014597747,-0.0013141503257663623,-0.0014875743283486386,-0.0011571962175363282,True,True,-8.234947176121148e-06
14,784266,-0.0013339086,0.0013998165,-0.0013332823792915726,-0.0014923127901434181,-0.001175504497003627,True,True,-6.262642819499387e-07
15,447246,-0.0014182961,0.0013919176,-0.0013141033377491137,-0.001575806433647695,-0.0012607858289630982,True,True,-0.00010419279355628288
16,249366,-0.0014593588,0.0015093415,-0.0013327858181519797,-0.0016301569146270835,-0.0012885607695971644,True,True,-0.00012657302396014425
17,844921,-0.0013351691,0.0015135426,-0.0013559046021008854,-0.00150644254170118,-0.0011638956028247056,True,True,2.073552983794264e-05
18,200302,-0.0011122029,0.0012190773,-0.0012878456904590772,-0.0012501544603868932,-0.0009742513014212637,False,True,0.00017564280955499872
19,281658,-0.0014442079,0.001504584,-0.0013523702362237132,-0.0016144675592597091,-0.0012739481480155623,True,True,-9.18376174139225e-05
20,964930,-0.0012582655,0.0013980278,-0.0013185300832333647,-0.0014164671935964503,-0.00110006372622362,True,True,6.026462332332956e-05
21,104203,-0.0013147967,0.0013971551,-0.0013189884683539714,-0.001472899724316575,-0.0011566937560618144,True,True,4.1917281647767e-06
22,837427,-0.0012869261,0.0012694567,-0.0013524245480879499,-0.001430578645792182,-0.0011432735486809655,True,True,6.549845085137619e-05
23,765775,-0.0011880713,0.0012792257,-0.0013219403083305223,-0.00133282934225202,-0.0010433133141785822,True,True,0.00013386898011522128
24,412319,-0.001297969,0.0012842471,-0.0013119779873573014,-0.0014432952673918838,-0.0011526427762769823,True,True,1.4008965522868287e-05
25,563918,-0.0014252755,0.0013839303,-0.00134024728373813,-0.0015818819220062045,-0.0012686690033529254,True,True,-8.502817894143503e-05
26,783145,-0.001303853,0.0015355697,-0.0013176790700636246,-0.0014776190673104674,-0.0011300869355805963,True,True,1.3826068618092748e-05
27,620206,-0.0012337953,0.0014048386,-0.0013378265208786723,-0.0013927677656404094,-0.0010748228513755484,True,True,0.00010403121237069339
28,246769,-0.001377487,0.0014442207,-0.0013351944357560606,-0.0015409159256097654,-0.001214058020529451,True,True,-4.2292537313547585e-05
29,468635,-0.0013546682,0.0015006979,-0.0013219677633125454,-0.001524488129559551,-0.001184848216455783,True,True,-3.270040969512167e-05
30,147440,-0.0014914479,0.0014423411,-0.0013386168384325776,-0.0016546641748887714,-0.0013282316464441602,True,True,-0.00015283107223388812
31,398145,-0.0012616616,0.0014997307,-0.001327843327277287,-0.0014313721540958882,-0.0010919511340914964,True,True,6.618168318359477e-05
32,911726,-0.0013255075,0.0013634678,-0.0013647025891509188,-0.0014797984352385865,-0.001171216628509177,True,True,3.919505727703696e-05
33,506965,-0.0014462577,0.0014298906,-0.0013562720675381063,-0.001608065051884395,-0.0012844503373643336,True,True,-8.998562708625803e-05
34,688369,-0.0011152967,0.0012088332,-0.0013262815056252523,-0.0012520890868990794,-0.0009785043820948228,False,True,0.00021098477112830119
35,761019,-0.001182625,0.0012532967,-0.0013435641971021749,-0.0013244488307245824,-0.001040801076873317,False,True,0.00016093924330322514
36,11693,-0.001351359,0.0014079072,-0.0013184924740695335,-0.0015106786520154253,-0.001192039250123404,True,True,-3.28664769998811e-05
37,245782,-0.0014887344,0.0015268698,-0.001332574626923102,-0.0016615159729667318,-0.0013159527988932716,True,True,-0.00015615975900689976
38,541848,-0.0012944698,0.0012935315,-0.0013152317086024005,-0.0014408466792919722,-0.001148092940889946,True,True,2.0761898511441465e-05
39,302682,-0.0012198212,0.00133683,-0.001338831513388785,-0.0013710977145191929,-0.0010685446105244854,True,True,0.00011901035086694586
40,922835,-0.0013373764,0.0015435708,-0.0013471745195321953,-0.001512047899723121,-0.0011627049466370856,True,True,9.798096352091985e-06
41,794901,-0.0013122736,0.001305814,-0.0013629878688053065,-0.0014600403211136187,-0.0011645067878942167,True,True,5.071431430138883e-05
42,333573,-0.001332177,0.0014504879,-0.0013180715007434093,-0.0014963151207776299,-0.001168038810545064,True,True,-1.4105464917937632e-05
43,650404,-0.0012400157,0.0015290898,-0.0013244058802917742,-0.0014130485234589978,-0.0010669829333393172,True,True,8.43901518926167e-05
44,32602,-0.0013670392,0.0014596743,-0.0013399010133640014,-0.0015322168633307397,-0.0012018614638631166,True,True,-2.7138150232926695e-05
45,128420,-0.0013548324,0.0014068874,-0.0012994291299723538,-0.0015140367349406058,-0.001195628135112924,True,True,-5.540330505441108e-05
46,358671,-0.0013666459,0.0015083236,-0.0013238146885354803,-0.0015373287949007274,-0.001195963030378866,True,True,-4.2831224104316386e-05
47,530248,-0.0013297325,0.001426401,-0.0013071926273090979,-0.001491144941146587,-0.001168320012320663,True,True,-2.253984942452705e-05
48,586726,-0.001338363,0.001394698,-0.0013492201042454872,-0.001496187984444787,-0.0011805381016203862,True,True,1.0857061212900601e-05
49,248392,-0.0014509412,0.0015688129,-0.0013135802283938494,-0.0016284690886514124,-0.0012734133102221552,True,True,-0.00013736097104293443
50,385817,-0.0013483169,0.0016796684,-0.0013367617371051732,-0.0015383892789152544,-0.0011582445256742555,True,True,-1.1555165189581747e-05
51,344729,-0.0014374619,0.0014637705,-0.0013276824284011927,-0.0016031031621967571,-0.0012718207077707035,True,True,-0.00010977950658253759
52,255930,-0.0012830991,0.0013903213,-0.001347744243688311,-0.0014404287254223397,-0.0011257693944713304,True,True,6.464518374147592e-05
53,524650,-0.0014260763,0.0015755363,-0.0013459702687660868,-0.0016043650029400655,-0.0012477875644167594,True,True,-8.010601491232564e-05
54,121945,-0.0013098912,0.0014893744,-0.0013180933313280683,-0.0014784298148965687,-0.001141352647819534,True,True,8.202099970016979e-06
55,360292,-0.0015018428,0.001542908,-0.0013364745518119469,-0.0016764392302134556,-0.0013272462721219736,True,True,-0.00016536819935576773
56,61751,-0.001299609,0.0015002373,-0.0013480915216183371,-0.0014693767929559094,-0.0011298411359901088,True,True,4.8482557145328e-05
57,912498,-0.0014194276,0.0015003192,-0.0013214578828101774,-0.0015892046745393346,-0.0012496504690971304,True,True,-9.796968900805509e-05
58,305725,-0.0013006307,0.0014558905,-0.001326887782213799,-0.001465380258866791,-0.0011358812246385773,True,True,2.6257040461114944e-05
59,18753,-0.0014161678,0.0014793131,-0.001317369113228241,-0.0015835678654546681,-0.001248767787328845,True,True,-9.879871316351564e-05
60,575233,-0.0013834441,0.0015395082,-0.0013303066040807395,-0.0015576558177467874,-0.0012092323052588412,True,True,-5.31374574220748e-05
61,481054,-0.0012850406,0.0014506292,-0.0013485123353873245,-0.001449194782591992,-0.0011208864867765372,True,True,6.347170070305987e-05
62,430340,-0.0011485324,0.0012153505,-0.0012952209733435064,-0.001286062229499643,-0.0010110025256122898,False,True,0.00014668859578754003
63,857625,-0.0014672833,0.0016258954,-0.0013096662680659801,-0.0016512707324327352,-0.0012832959665356753,True,True,-0.0001576170814182251
64,62724,-0.0013893519,0.0014613,-0.00131787140128239,-0.0015547135626112127,-0.0012239902498985625,True,True,-7.148050497249748e-05
65,685801,-0.0013800437,0.0014657377,-0.0013484955776069901,-0.0015459075216447083,-0.0012141798510904344,True,True,-3.154810876058122e-05
66,975127,-0.0012138261,0.0014205067,-0.001320498900820493,-0.0013745715928532788,-0.0010530806525341561,True,True,0.00010667277812677562
67,434134,-0.0013372698,0.0015469852,-0.0013580860478421618,-0.0015123276459679553,-0.0011622119275226644,True,True,2.081626109685193e-05
68,837012,-0.001185894,0.0013029142,-0.0013362776953438212,-0.001333332637016316,-0.0010384553878860277,False,True,0.00015038368289264936
69,768948,-0.0014156654,0.0014247018,-0.0013259154519284513,-0.0015768855599166325,-0.0012544451958088705,True,True,-8.974992593430023e-05
70,500797,-0.0014901038,0.0018141593,-0.001327265245473927,-0.0016953952335647968,-0.0012848123251565072,True,True,-0.00016283853388672498
