,our_nc_hat,our_nc_sd
0,-0.001342273,0.001477933
1,-0.001246987,0.001380554
2,-0.00143569,0.001548865
3,-0.001263101,0.001478121
4,-0.001328448,0.001453178
5,-0.001375675,0.001430185
6,-0.001218373,0.001289324
7,-0.001346685,0.001415008
8,-0.001285601,0.001363309
9,-0.001230097,0.001359268
10,-0.001403475,0.001582324
11,-0.001393766,0.001481652
12,-0.001340548,0.001321054
13,-0.001428242,0.001566594
14,-0.001320786,0.001429745
15,-0.001351434,0.00139323
16,-0.001360542,0.001328315
17,-0.001344102,0.001393636
18,-0.001230193,0.001368272
19,-0.001334663,0.001454255
20,-0.001205025,0.001238093
21,-0.001421286,0.001464543
22,-0.001298799,0.001386904
23,-0.001208512,0.001233075
24,-0.00129743,0.001310612
25,-0.001383225,0.001412263
26,-0.001201563,0.001362583
27,-0.001274853,0.001393335
28,-0.0012731,0.001426746
29,-0.001251818,0.001331957
30,-0.0014344,0.001354312
31,-0.001254073,0.001478272
32,-0.001261257,0.001389572
33,-0.001353023,0.001428392
34,-0.001096919,0.001160962
35,-0.001342449,0.001513034
36,-0.001274678,0.001365251
37,-0.001340485,0.001521003
38,-0.001336331,0.001347668
39,-0.001141394,0.001311909
40,-0.001266703,0.001395353
41,-0.001232504,0.001323881
42,-0.001262042,0.001323075
43,-0.00126709,0.001369204
44,-0.001252132,0.001382361
45,-0.001330684,0.001444745
46,-0.001297054,0.001440039
47,-0.001281934,0.001395978
48,-0.001245137,0.001303905
49,-0.001475927,0.001513941
50,-0.001234196,0.001396235
51,-0.001380782,0.001413748
52,-0.001195103,0.001303694
53,-0.001303076,0.001472782
54,-0.001188584,0.001315044
55,-0.001474978,0.001480355
56,-0.001274411,0.001496871
57,-0.001405826,0.00150383
58,-0.001218835,0.001374351
59,-0.001278109,0.001328971
60,-0.001331564,0.001480804
61,-0.001333961,0.001496246
62,-0.001135854,0.001190979
63,-0.001371206,0.00149413
64,-0.001443153,0.001497624
65,-0.001345522,0.001510185
66,-0.00114259,0.001226547
67,-0.001278421,0.001369634
68,-0.001186866,0.001307865
69,-0.001405175,0.001450072
70,-0.001312171,0.001466089
71,-0.001353839,0.001424086
72,-0.001210776,0.001293942
73,-0.001251546,0.001388611
74,-0.0012623,0.001330463
75,-0.001510706,0.001546761
76,-0.001367134,0.001504299
77,-0.001309799,0.001442102
78,-0.001455618,0.001561307
79,-0.001534878,0.001625683
80,-0.001513236,0.001578747
81,-0.001307124,0.001401636
82,-0.001082181,0.001215114
83,-0.001292919,0.001410232
84,-0.001357519,0.001416371
85,-0.001233264,0.001346079
86,-0.001320996,0.001638915
87,-0.001287118,0.00144086
88,-0.001259394,0.001319406
89,-0.00127384,0.001385857
90,-0.00134773,0.00138494
91,-0.001407575,0.001458737
92,-0.001337621,0.001391396
93,-0.001212064,0.00132088
94,-0.001441783,0.001564797
95,-0.001294786,0.001389763
96,-0.001159607,0.001372652
97,-0.001273943,0.001438792
98,-0.00133722,0.001476313
99,-0.001282242,0.001490457
